accident_id,final_severity_label,final_severity_confidence,severity_decision_method,severity_class_scores,selected_plate_number,source_type,source_image_name,source_image_path,plate_confidence,plate_box_xyxy,plate_angle,plate_candidate_score,plate_size_score,straightness_score,sharpness_score,plate_crop_path,all_region_detections,filtered_regions_inside_plate,ET_region_conf,EN_region_conf,ET_raw_ocr_text,EN_raw_ocr_text,ET_cleaned_text,EN_cleaned_number,english_plate,arabic_text_generated,arabic_number_generated,arabic_plate_generated,ET_ocr_conf,EN_ocr_conf,ET_crop_path,EN_crop_path,annotated_path,region_debug_path
ACC_001,minor,1.0,accumulative confidence voting by unique image,{'minor': 0.8939},1,test_image,test.png,/Users/hawra/Desktop/try pipline/test.png,0.8491,"[411.8576354980469, 627.017333984375, 505.59735107421875, 680.5615234375]",8.6371,0.7118,0.319,0.7121,1.0,/Users/hawra/Desktop/try pipline/Output/ACC_001/plate_crops/ACC_001_test_image_test_plate_1.jpg,"ET,AN,EN,EN,AT,ET,AN,AT","ET,AN,EN,AT",0.6831,0.6277,HUD,7842],HUD,7842,HUD7842,دوه,٧٨٤٢,دوه٧٨٤٢,0.6053,0.9716,/Users/hawra/Desktop/try pipline/Output/ACC_001/ocr_region_crops/ACC_001_test_image_test_plate1_ET_crop.jpg,/Users/hawra/Desktop/try pipline/Output/ACC_001/ocr_region_crops/ACC_001_test_image_test_plate1_EN_crop.jpg,/Users/hawra/Desktop/try pipline/Output/ACC_001/annotated_images/ACC_001_test_image_test_plate1_annotated.jpg,/Users/hawra/Desktop/try pipline/Output/ACC_001/region_debug_images/ACC_001_test_image_test_plate1_regions.jpg
ACC_001,minor,1.0,accumulative confidence voting by unique image,{'minor': 0.8939},2,test_image,test.png,/Users/hawra/Desktop/try pipline/test.png,0.7286,"[1084.1611328125, 701.7014770507812, 1195.451416015625, 741.7965698242188]",-3.3185,0.6902,0.2836,0.8894,1.0,/Users/hawra/Desktop/try pipline/Output/ACC_001/plate_crops/ACC_001_test_image_test_plate_2.jpg,"ET,AN,EN,EN,AT,ET,AN,AT","EN,ET,AN,AT",0.4305,0.6344,ZER,1048,ZER,1048,ZER1048,رعم,١٠٤٨,رعم١٠٤٨,0.9968,0.7746,/Users/hawra/Desktop/try pipline/Output/ACC_001/ocr_region_crops/ACC_001_test_image_test_plate2_ET_crop.jpg,/Users/hawra/Desktop/try pipline/Output/ACC_001/ocr_region_crops/ACC_001_test_image_test_plate2_EN_crop.jpg,/Users/hawra/Desktop/try pipline/Output/ACC_001/annotated_images/ACC_001_test_image_test_plate2_annotated.jpg,/Users/hawra/Desktop/try pipline/Output/ACC_001/region_debug_images/ACC_001_test_image_test_plate2_regions.jpg
