accident_id,source_type,image_name,image_path,saved_original_path,severity_label,severity_confidence,image_accident_detected,plate_detected,plate_index_in_image,plate_confidence,plate_box_xyxy,plate_angle,plate_candidate_score,plate_size_score,straightness_score,sharpness_score,plate_crop_path
ACC_001,test_image,test.png,/Users/hawra/Desktop/try pipline/test.png,/Users/hawra/Desktop/try pipline/Output/ACC_001/original_images/test_image_test.png,minor,0.8939,True,True,1,0.8491,"[411.8576354980469, 627.017333984375, 505.59735107421875, 680.5615234375]",8.6371,0.7118,0.319,0.7121,1.0,/Users/hawra/Desktop/try pipline/Output/ACC_001/plate_crops/ACC_001_test_image_test_plate_1.jpg
ACC_001,test_image,test.png,/Users/hawra/Desktop/try pipline/test.png,/Users/hawra/Desktop/try pipline/Output/ACC_001/original_images/test_image_test.png,minor,0.8939,True,True,2,0.7286,"[1084.1611328125, 701.7014770507812, 1195.451416015625, 741.7965698242188]",-3.3185,0.6902,0.2836,0.8894,1.0,/Users/hawra/Desktop/try pipline/Output/ACC_001/plate_crops/ACC_001_test_image_test_plate_2.jpg
